fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
3,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,13.0,1.0,67.0,10.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,7.0,5.0,21.0,14.0,14.0,26.0,,25.0,,22.0,,14.0,16.0,11.0,9.0,0.0,1.0,4.0,,5.0,,5.0,,5.0,,,,,,,,,,,,,,,
4,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,6.0,0.0,71.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,10.0,6.0,,15.0,13.0,15.0,,14.0,,14.0,,14.0,21.0,10.0,,0.0,4.0,15.0,,16.0,,14.0,,10.0,,,,,,,,,,,,,,,
5,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,17.0,0.0,34.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,16.0,5.0,,14.0,15.0,,,,24.0,18.0,,15.0,15.0,13.0,,0.0,0.0,,,,6.0,12.0,,4.0,,,,,,,,,,,,,,,
6,2025-03-04_Proof-of-concept-Olga/,1-NA,8.0,21.0,3.0,90.0,4.0,3.0,0.0,1.0,0.0,5.0,0.0,5.0,6.0,4.0,17.0,14.0,14.0,16.0,,15.0,,13.0,,12.0,17.0,17.0,10.0,0.0,2.0,6.0,,15.0,,8.0,,9.0,,,,,,,,,,,,,,,
7,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,14.0,1.0,34.0,10.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,5.0,4.0,17.0,14.0,13.0,26.0,23.0,,,17.0,,14.0,17.0,8.0,13.0,0.0,0.0,4.0,7.0,,,9.0,,11.0,,,,,,,,,,,,,,,
8,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,16.0,1.0,78.0,8.0,2.0,0.0,1.0,0.0,5.0,4.0,10.0,3.0,4.0,25.0,14.0,14.0,24.0,,23.0,,13.0,12.0,12.0,17.0,9.0,5.0,0.0,0.0,3.0,,7.0,,1.0,9.0,2.0,,,,,,,,,,,,,,,
9,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,13.0,1.0,76.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,8.0,5.0,19.0,15.0,14.0,18.0,23.0,17.0,,17.0,,16.0,20.0,17.0,11.0,0.0,7.0,12.0,7.0,13.0,,13.0,,11.0,,,,,,,,,,,,,,,
11,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,12.0,0.0,53.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,15.0,4.0,,14.0,16.0,19.0,17.0,,,,,20.0,16.0,17.0,,1.0,6.0,11.0,8.0,,,,,4.0,,,,,,,,,,,,,,,
12,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,23.0,0.0,76.0,2.0,1.0,2.0,0.0,0.0,6.0,0.0,9.0,10.0,4.0,,14.0,22.0,18.0,12.0,,,14.0,,12.0,16.0,12.0,,0.0,6.0,12.0,6.0,,,8.0,,7.0,,,,,,,,,,,,,,,
14,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,9.0,3.0,88.0,4.0,1.0,0.0,1.0,0.0,4.0,1.0,5.0,3.0,4.0,17.0,14.0,13.0,16.0,,15.0,,13.0,20.0,14.0,20.0,16.0,0.0,0.0,4.0,14.0,,15.0,,8.0,10.0,8.0,,,,,,,,,,,,,,,
15,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,19.0,1.0,76.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,4.0,20.0,14.0,13.0,20.0,17.0,,,18.0,,15.0,18.0,16.0,10.0,2.0,2.0,4.0,9.0,,,12.0,,15.0,,,,,,,,,,,,,,,
16,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,10.0,1.0,66.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,6.0,4.0,26.0,14.0,13.0,,22.0,,,14.0,,21.0,18.0,12.0,4.0,0.0,3.0,,8.0,,,7.0,,8.0,,,,,,,,,,,,,,,
18,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,14.0,1.0,50.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,6.0,5.0,27.0,14.0,14.0,,17.0,24.0,,24.0,,23.0,18.0,10.0,3.0,0.0,12.0,,13.0,6.0,,1.0,,6.0,,,,,,,,,,,,,,,
19,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,13.0,1.0,84.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,5.0,4.0,16.0,14.0,,27.0,17.0,,13.0,15.0,,13.0,19.0,19.0,14.0,2.0,,3.0,13.0,,17.0,7.0,,17.0,,,,,,,,,,,,,,,
20,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,19.0,2.0,70.0,7.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,5.0,4.0,15.0,14.0,13.0,,23.0,,,12.0,,13.0,17.0,14.0,0.0,0.0,6.0,,7.0,,,2.0,,17.0,,,,,,,,,,,,,,,
21,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,26.0,3.0,59.0,16.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,5.0,18.0,14.0,13.0,17.0,18.0,16.0,24.0,16.0,15.0,15.0,17.0,16.0,4.0,0.0,0.0,9.0,9.0,14.0,6.0,7.0,15.0,14.0,,,,,,,,,,,,,,,
22,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,11.0,2.0,92.0,20.0,3.0,2.0,2.0,0.0,6.0,0.0,10.0,5.0,4.0,17.0,14.0,13.0,15.0,14.0,14.0,,14.0,,12.0,14.0,12.0,9.0,0.0,0.0,4.0,14.0,15.0,,4.0,,6.0,,,,,,,,,,,,,,,
23,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,23.0,0.0,84.0,4.0,4.0,0.0,1.0,0.0,5.0,0.0,5.0,9.0,5.0,,14.0,13.0,14.0,,13.0,,13.0,,12.0,15.0,3.0,,0.0,5.0,0.0,,17.0,,8.0,,0.0,,,,,,,,,,,,,,,
24,2025-03-04_Proof-of-concept-Olga/,1-NA,13.0,27.0,1.0,77.0,0.0,3.0,3.0,1.0,0.0,5.0,0.0,2.0,5.0,5.0,19.0,14.0,,18.0,20.0,17.0,,13.0,,16.0,15.0,12.0,11.0,2.0,,9.0,9.0,13.0,,6.0,,9.0,,,,,,,,,,,,,,,
25,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,20.0,0.0,46.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,5.0,,14.0,14.0,25.0,,,,17.0,,12.0,16.0,5.0,,1.0,8.0,4.0,,,,13.0,,3.0,,,,,,,,,,,,,,,
26,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,34.0,0.0,94.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,5.0,4.0,,14.0,,,,17.0,,12.0,,14.0,20.0,15.0,,2.0,,,,13.0,,8.0,,10.0,,,,,,,,,,,,,,,
27,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,13.0,3.0,41.0,19.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,15.0,5.0,15.0,15.0,14.0,27.0,,26.0,26.0,12.0,,13.0,9.0,2.0,2.0,0.0,0.0,3.0,,4.0,4.0,2.0,,5.0,,,,,,,,,,,,,,,
28,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,14.0,1.0,41.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,14.0,4.0,20.0,14.0,14.0,19.0,,13.0,,,,12.0,3.0,5.0,10.0,0.0,0.0,11.0,,12.0,,,,7.0,,,,,,,,,,,,,,,
1001,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,13.0,0.0,56.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,11.0,5.0,,14.0,23.0,21.0,20.0,,,20.0,,12.0,20.0,10.0,,0.0,4.0,0.0,10.0,,,10.0,,17.0,,,,,,,,,,,,,,,
1003,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,11.0,1.0,50.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,3.0,24.0,14.0,15.0,,20.0,,,18.0,,12.0,21.0,9.0,6.0,0.0,4.0,,10.0,,,12.0,,3.0,,,,,,,,,,,,,,,
1004,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,36.0,0.0,85.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,5.0,7.0,3.0,,13.0,,15.0,19.0,,,15.0,18.0,12.0,16.0,16.0,,2.0,,8.0,7.0,,,11.0,12.0,6.0,,,,,,,,,,,,,,,
1005,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,11.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,4.0,,14.0,14.0,,,,,,,17.0,12.0,8.0,,0.0,1.0,,,,,,,13.0,,,,,,,,,,,,,,,
1006,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,14.0,0.0,83.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,3.0,,13.0,16.0,14.0,,14.0,,14.0,,13.0,22.0,17.0,,0.0,12.0,5.0,,16.0,,7.0,,7.0,,,,,,,,,,,,,,,
1007,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,29.0,0.0,142.0,7.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,5.0,3.0,,13.0,15.0,,16.0,,,14.0,21.0,13.0,19.0,16.0,,0.0,2.0,,14.0,,,3.0,9.0,11.0,,,,,,,,,,,,,,,
1008,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,12.0,3.0,80.0,6.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,5.0,4.0,13.0,13.0,13.0,19.0,17.0,,,13.0,14.0,20.0,20.0,14.0,9.0,1.0,3.0,9.0,9.0,,,14.0,16.0,9.0,,,,,,,,,,,,,,,
1009,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,13.0,1.0,67.0,3.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,6.0,3.0,24.0,14.0,13.0,23.0,12.0,23.0,23.0,14.0,,12.0,18.0,17.0,6.0,2.0,6.0,7.0,18.0,7.0,7.0,7.0,,8.0,,,,,,,,,,,,,,,
1010,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,16.0,0.0,40.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,,13.0,12.0,14.0,,,,11.0,,13.0,24.0,4.0,,0.0,7.0,16.0,,,,15.0,,6.0,,,,,,,,,,,,,,,
1011,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,8.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,3.0,,13.0,21.0,30.0,,,,16.0,,14.0,22.0,3.0,,0.0,9.0,0.0,,,,0.0,,15.0,,,,,,,,,,,,,,,
1012,2025-03-04_Proof-of-concept-Olga/,1-NA,8.0,39.0,2.0,96.0,14.0,1.0,1.0,1.0,0.0,7.0,0.0,4.0,4.0,3.0,18.0,13.0,13.0,29.0,30.0,28.0,,11.0,,11.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,,0.0,,3.0,,,,,,,,,,,,,,,
1013,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,10.0,2.0,60.0,19.0,1.0,0.0,0.0,1.0,5.0,0.0,6.0,10.0,4.0,24.0,14.0,13.0,21.0,,,22.0,15.0,,12.0,14.0,10.0,6.0,0.0,4.0,9.0,,,8.0,0.0,,2.0,,,,,,,,,,,,,,,
1014,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,15.0,0.0,45.0,20.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,7.0,4.0,,13.0,10.0,16.0,,16.0,15.0,12.0,,13.0,16.0,4.0,,0.0,4.0,5.0,,14.0,15.0,4.0,,5.0,,,,,,,,,,,,,,,
1015,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,23.0,2.0,119.0,2.0,2.0,1.0,0.0,1.0,6.0,0.0,7.0,6.0,4.0,15.0,13.0,16.0,21.0,18.0,,18.0,13.0,,11.0,20.0,13.0,12.0,2.0,7.0,8.0,12.0,,12.0,7.0,,5.0,,,,,,,,,,,,,,,
1016,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,15.0,0.0,67.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,7.0,3.0,,14.0,23.0,26.0,,,,13.0,,19.0,24.0,12.0,,0.0,5.0,4.0,,,,9.0,,8.0,,,,,,,,,,,,,,,
1017,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,16.0,3.0,94.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,3.0,14.0,14.0,14.0,17.0,,,,13.0,14.0,21.0,18.0,10.0,2.0,0.0,14.0,7.0,,,,3.0,16.0,9.0,,,,,,,,,,,,,,,
1018,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,23.0,5.0,64.0,7.0,2.0,2.0,3.0,1.0,6.0,0.0,7.0,5.0,3.0,16.0,13.0,13.0,15.0,14.0,14.0,16.0,13.0,,12.0,19.0,7.0,4.0,0.0,4.0,13.0,15.0,13.0,14.0,0.0,,0.0,,,,,,,,,,,,,,,
1020,2025-03-04_Proof-of-concept-Olga/,1-NA,8.0,17.0,1.0,99.0,3.0,2.0,2.0,1.0,0.0,3.0,0.0,6.0,2.0,3.0,14.0,13.0,20.0,13.0,18.0,13.0,,13.0,,11.0,20.0,14.0,16.0,2.0,3.0,13.0,10.0,17.0,,11.0,,9.0,,,,,,,,,,,,,,,
1021,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,21.0,2.0,45.0,4.0,1.0,1.0,2.0,0.0,3.0,0.0,3.0,11.0,5.0,13.0,14.0,13.0,16.0,12.0,14.0,,15.0,,13.0,20.0,16.0,12.0,0.0,3.0,14.0,18.0,15.0,,8.0,,10.0,,,,,,,,,,,,,,,
1022,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,13.0,0.0,183.0,1.0,0.0,0.0,0.0,3.0,14.0,0.0,15.0,3.0,4.0,,13.0,22.0,,,,15.0,16.0,,12.0,12.0,6.0,,0.0,8.0,,,,4.0,2.0,,0.0,,,,,,,,,,,,,,,
1023,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,15.0,0.0,42.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,3.0,13.0,6.0,,14.0,21.0,12.0,15.0,12.0,,19.0,,16.0,18.0,8.0,,0.0,9.0,18.0,10.0,18.0,,4.0,,6.0,,,,,,,,,,,,,,,
1024,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,16.0,2.0,103.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,4.0,15.0,14.0,14.0,14.0,26.0,14.0,13.0,13.0,11.0,13.0,12.0,6.0,14.0,0.0,9.0,8.0,4.0,16.0,17.0,13.0,19.0,0.0,,,,,,,,,,,,,,,
1025,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,18.0,0.0,71.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,3.0,,14.0,13.0,,,,,13.0,,18.0,14.0,14.0,,0.0,7.0,,,,,5.0,,6.0,,,,,,,,,,,,,,,
1026,2025-03-04_Proof-of-concept-Olga/,1-NA,0.0,14.0,2.0,86.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,8.0,,3.0,21.0,13.0,14.0,21.0,16.0,28.0,,12.0,,11.0,,15.0,6.0,1.0,11.0,3.0,14.0,2.0,,11.0,,0.0,,,,,,,,,,,,,,,
2002,2025-03-04_Proof-of-concept-Olga/,1-NA,0.0,17.0,0.0,51.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,,4.0,,13.0,13.0,30.0,,,,28.0,,12.0,,11.0,,0.0,0.0,0.0,,,,2.0,,16.0,,,,,,,,,,,,,,,
