gene,AUC,Balanced_Accuracy,TPR_train,TNR_train,TPR_test,TNR_test,nN_train,nP_train,nN_test,nP_test
ACTB,0.85375,0.825,0.9999999998750001,0.9999999998750001,0.85999999957,0.7899999996049999,80.0,80.0,20.0,20.0
CCR7,0.869,0.76,0.9399999998825,0.9224999998846876,0.73999999963,0.77999999961,80.0,80.0,20.0,20.0
CD69,0.7785,0.715,0.9999999998750001,0.9974999998753127,0.6799999996599999,0.749999999625,80.0,80.0,20.0,20.0
CD8,0.8895,0.835,0.9899999998762501,0.9799999998775,0.8799999995600001,0.789999999605,80.0,80.0,20.0,20.0
CORO1A,0.867,0.85,0.9899999998762501,0.9949999998756252,0.85999999957,0.83999999958,80.0,80.0,20.0,20.0
GBP4,0.6575,0.595,0.9974999998753127,0.9999999998750001,0.649999999675,0.53999999973,80.0,80.0,20.0,20.0
GZMB,0.7035,0.64,0.9999999998750001,0.9999999998750001,0.61999999969,0.6599999996699999,80.0,80.0,20.0,20.0
IL2RA,0.842,0.785,0.9849999998768751,0.9899999998762501,0.81999999959,0.749999999625,80.0,80.0,20.0,20.0
IRF8,0.636,0.595,0.9674999998790625,0.9824999998771876,0.5999999997,0.5899999997050001,80.0,80.0,20.0,20.0
TNF,0.6447499999999999,0.615,0.9999999998750001,0.9999999998750001,0.5899999997050001,0.6399999996799999,80.0,80.0,20.0,20.0
